time,driving_policy
8.680,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.720,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.760,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.800,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.840,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
8.880,A car is close ahead on the left. Slow down and keep safe distance.
8.920,A car is close ahead on the left. Slow down and keep safe distance.
8.960,A car is close ahead on the left. Slow down and keep safe distance.
9.000,A car is close ahead on the left. Slow down and keep safe distance.
9.040,A car is close ahead on the left. Slow down and keep safe distance.
9.080,A car is close ahead on the left. Slow down and keep safe distance.
9.120,A car is close ahead on the left. Slow down and keep safe distance.
9.160,A car is close ahead on the left. Slow down and keep safe distance.
9.200,A car is close ahead on the left. Slow down and keep safe distance.
9.240,A car is close ahead on the left. Slow down and keep safe distance.
9.280,A car is close ahead on the left. Slow down and keep safe distance.
9.320,A car is close ahead on the left. Slow down and keep safe distance.
9.360,A car is close ahead on the left. Slow down and keep safe distance.
9.400,A car is close ahead on the left. Slow down and keep safe distance.
9.440,A car is close ahead on the left. Slow down and keep safe distance.
9.480,A car is close ahead on the left. Slow down and keep safe distance.
9.520,A car is close ahead on the left. Slow down and keep safe distance.
9.560,A car is close ahead on the left. Slow down and keep safe distance.
9.600,A car is close ahead on the left. Slow down and keep safe distance.
9.640,A car is close ahead on the left. Slow down and keep safe distance.
9.680,A car is close ahead on the left. Slow down and keep safe distance.
9.720,A car is close ahead on the left. Slow down and keep safe distance.
9.760,A car is close ahead on the left. Slow down and keep safe distance.
9.800,A car is close ahead on the left. Slow down and keep safe distance.
9.840,A car is close ahead on the left. Slow down and keep safe distance.
9.880,A car is close ahead on the left. Slow down and keep safe distance.
9.920,A car is close ahead on the left. Slow down and keep safe distance.
9.960,A car is close ahead on the left. Slow down and keep safe distance.
10.000,A car is close ahead on the left. Slow down and keep safe distance.
10.040,A car is close ahead on the left. Slow down and keep safe distance.
10.080,A car is close ahead on the left. Slow down and keep safe distance.
10.120,A car is close ahead on the left. Slow down and keep safe distance.
10.160,A car is close ahead on the left. Slow down and keep safe distance.
10.200,A car is close ahead on the left. Slow down and keep safe distance.
10.240,A car is close ahead on the left. Slow down and keep safe distance.
10.280,A car is close ahead on the left. Slow down and keep safe distance.
10.320,A car is close ahead on the left. Slow down and keep safe distance.
10.360,A car is close ahead on the left. Slow down and keep safe distance.
10.400,A car is close ahead on the left. Slow down and keep safe distance.
10.440,A car is close ahead on the left. Slow down and keep safe distance.
10.480,A car is close ahead on the left. Slow down and keep safe distance.
10.520,A car is close ahead on the left. Slow down and keep safe distance.
10.560,A car is close ahead on the left. Slow down and keep safe distance.
10.600,A car is close ahead on the left. Slow down and keep safe distance.
10.640,A car is close ahead on the left. Slow down and keep safe distance.
10.680,A car is close ahead on the left. Slow down and keep safe distance.
10.720,A car is close ahead on the left. Slow down and keep safe distance.
10.760,A car is close ahead on the left. Slow down and keep safe distance.
10.800,A car is close ahead on the left. Slow down and keep safe distance.
10.840,A car is close ahead on the left. Slow down and keep safe distance.
10.880,A car is close ahead on the left. Slow down and keep safe distance.
10.920,A car is close ahead on the left. Slow down and keep safe distance.
10.960,A car is close ahead on the left. Slow down and keep safe distance.
11.000,A car is close ahead on the left. Slow down and keep safe distance.
11.040,A car is close ahead on the left. Slow down and keep safe distance.
11.080,A car is close ahead on the left. Slow down and keep safe distance.
11.120,A car is close ahead on the left. Slow down and keep safe distance.
11.160,A car is close ahead on the left. Slow down and keep safe distance.
11.200,A car is close ahead on the left. Slow down and keep safe distance.
11.240,A car is close ahead on the left. Slow down and keep safe distance.
11.280,A car is close ahead on the left. Slow down and keep safe distance.
11.320,A car is close ahead on the left. Slow down and keep safe distance.
11.360,A car is close ahead on the left. Slow down and keep safe distance.
11.400,A car is close ahead on the left. Slow down and keep safe distance.
11.440,A car is close ahead on the left. Slow down and keep safe distance.
11.480,A car is close ahead on the left. Slow down and keep safe distance.
11.520,A car is close ahead on the left. Slow down and keep safe distance.
11.560,A car is close ahead on the left. Slow down and keep safe distance.
11.600,A car is close ahead on the left. Slow down and keep safe distance.
11.640,A car is close ahead on the left. Slow down and keep safe distance.
11.680,A car is close ahead on the left. Slow down and keep safe distance.
11.720,A car is close ahead on the left. Slow down and keep safe distance.
11.760,A car is close ahead on the left. Slow down and keep safe distance.
11.800,A car is close ahead on the left. Slow down and keep safe distance.
11.840,A car is close ahead on the left. Slow down and keep safe distance.
11.880,A car is close ahead on the left. Slow down and keep safe distance.
11.920,A car is close ahead on the left. Slow down and keep safe distance.
11.960,A car is close ahead on the left. Slow down and keep safe distance.
12.000,A car is close ahead on the left. Slow down and keep safe distance.
12.040,A car is close ahead on the left. Slow down and keep safe distance.
12.080,A car is close ahead on the left. Slow down and keep safe distance.
12.120,A car is close ahead on the left. Slow down and keep safe distance.
12.160,A car is close ahead on the left. Slow down and keep safe distance.
12.200,A car is close ahead on the left. Slow down and keep safe distance.
12.240,A car is close ahead on the left. Slow down and keep safe distance.
12.280,A car is close ahead on the left. Slow down and keep safe distance.
12.320,A car is close ahead on the left. Slow down and keep safe distance.
12.360,A car is close ahead on the left. Slow down and keep safe distance.
12.400,A car is close ahead on the left. Slow down and keep safe distance.
12.440,A car is close ahead on the left. Slow down and keep safe distance.
12.480,A car is close ahead on the left. Slow down and keep safe distance.
12.520,A car is close ahead on the left. Slow down and keep safe distance.
12.560,A car is close ahead on the left. Slow down and keep safe distance.
12.600,A car is close ahead on the left. Slow down and keep safe distance.
12.640,A car is close ahead on the left. Slow down and keep safe distance.
12.680,A car is close ahead on the left. Slow down and keep safe distance.
12.720,A car is close ahead on the left. Slow down and keep safe distance.
12.760,A car is close ahead on the left. Slow down and keep safe distance.
12.800,A car is close ahead on the left. Slow down and keep safe distance.
12.840,A car is close ahead on the left. Slow down and keep safe distance.
12.880,A car is close ahead on the left. Slow down and keep safe distance.
12.920,A car is close ahead on the left. Slow down and keep safe distance.
12.960,A car is close ahead on the left. Slow down and keep safe distance.
13.000,A car is close ahead on the left. Slow down and keep safe distance.
13.040,A car is close ahead on the left. Slow down and keep safe distance.
13.080,A car is close ahead on the left. Slow down and keep safe distance.
13.120,A car is close ahead on the left. Slow down and keep safe distance.
13.160,A car is close ahead on the left. Slow down and keep safe distance.
13.200,A car is close ahead on the left. Slow down and keep safe distance.
13.240,A car is close ahead on the left. Slow down and keep safe distance.
13.280,A car is close ahead on the left. Slow down and keep safe distance.
13.320,A car is close ahead on the left. Slow down and keep safe distance.
13.360,A car is close ahead on the left. Slow down and keep safe distance.
13.400,A car is close ahead on the left. Slow down and keep safe distance.
13.440,A car is close ahead on the left. Slow down and keep safe distance.
13.480,A car is close ahead on the left. Slow down and keep safe distance.
13.520,A car is close ahead on the left. Slow down and keep safe distance.
13.560,A car is close ahead on the left. Slow down and keep safe distance.
13.600,A car is close ahead on the left. Slow down and keep safe distance.
13.640,A car is close ahead on the left. Slow down and keep safe distance.
13.680,A car is close ahead on the left. Slow down and keep safe distance.
13.720,A car is close ahead on the left. Slow down and keep safe distance.
13.760,A car is close ahead on the left. Slow down and keep safe distance.
13.800,A car is close ahead on the left. Slow down and keep safe distance.
13.840,A car is close ahead on the left. Slow down and keep safe distance.
13.880,A car is close ahead on the left. Slow down and keep safe distance.
13.920,A car is close ahead on the left. Slow down and keep safe distance.
13.960,A car is close ahead on the left. Slow down and keep safe distance.
14.000,A car is close ahead on the left. Slow down and keep safe distance.
14.040,A car is close ahead on the left. Slow down and keep safe distance.
14.080,A car is close ahead on the left. Slow down and keep safe distance.
14.120,A car is close ahead on the left. Slow down and keep safe distance.
14.160,A car is close ahead on the left. Slow down and keep safe distance.
14.200,A car is close ahead on the left. Slow down and keep safe distance.
14.240,A car is close ahead on the left. Slow down and keep safe distance.
14.280,A car is close ahead on the left. Slow down and keep safe distance.
14.320,A car is close ahead on the left. Slow down and keep safe distance.
14.360,A car is close ahead on the left. Slow down and keep safe distance.
14.400,A car is close ahead on the left. Slow down and keep safe distance.
14.440,A car is close ahead on the left. Slow down and keep safe distance.
14.480,A car is close ahead on the left. Slow down and keep safe distance.
14.520,A car is close ahead on the left. Slow down and keep safe distance.
14.560,A car is close ahead on the left. Slow down and keep safe distance.
14.600,A car is close ahead on the left. Slow down and keep safe distance.
14.640,A car is close ahead on the left. Slow down and keep safe distance.
14.680,A car is close ahead on the left. Slow down and keep safe distance.
14.720,A car is close ahead on the left. Slow down and keep safe distance.
14.760,A car is close ahead on the left. Slow down and keep safe distance.
14.800,A car is close ahead on the left. Slow down and keep safe distance.
14.840,A car is close ahead on the left. Slow down and keep safe distance.
14.880,A car is close ahead on the left. Slow down and keep safe distance.
14.920,A car is close ahead on the left. Slow down and keep safe distance.
14.960,A car is close ahead on the left. Slow down and keep safe distance.
15.000,A car is close ahead on the left. Slow down and keep safe distance.
15.040,A car is close ahead on the left. Slow down and keep safe distance.
15.080,A car is close ahead on the left. Slow down and keep safe distance.
15.120,A car is close ahead on the left. Slow down and keep safe distance.
15.160,A car is close ahead on the left. Slow down and keep safe distance.
15.200,A car is close ahead on the left. Slow down and keep safe distance.
15.240,A car is close ahead on the left. Slow down and keep safe distance.
15.280,A car is close ahead on the left. Slow down and keep safe distance.
15.320,A car is close ahead on the left. Slow down and keep safe distance.
15.360,A car is close ahead on the left. Slow down and keep safe distance.
15.400,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
15.440,A car is close ahead. Slow down and keep safe distance.
15.480,A car is close ahead. Slow down and keep safe distance.
15.520,A car is close ahead. Slow down and keep safe distance.
15.560,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
15.600,A car is close ahead on the left. Slow down and keep safe distance.
15.640,A car is close ahead on the left. Slow down and keep safe distance.
15.680,A car is close ahead on the left. Slow down and keep safe distance.
15.720,A car is close ahead on the left. Slow down and keep safe distance.
15.760,A car is close ahead on the left. Slow down and keep safe distance.
15.800,A car is close ahead on the left. Slow down and keep safe distance.
15.840,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
15.880,A car is close ahead. Slow down and keep safe distance.
15.920,A car is close ahead. Slow down and keep safe distance.
15.960,A car is close ahead. Slow down and keep safe distance.
16.000,A car is close ahead. Slow down and keep safe distance.
16.040,A car is close ahead. Slow down and keep safe distance.
16.080,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
16.120,A car is close ahead on the left. Slow down and keep safe distance.
16.160,A car is close ahead on the left. Slow down and keep safe distance.
16.200,A car is close ahead on the left. Slow down and keep safe distance.
16.240,A car is close ahead on the left. Slow down and keep safe distance.
16.280,A car is close ahead on the left. Slow down and keep safe distance.
16.320,A car is close ahead on the left. Slow down and keep safe distance.
16.360,A car is close ahead on the left. Slow down and keep safe distance.
16.400,A car is close ahead on the left. Slow down and keep safe distance.
16.440,A car is close ahead on the left. Slow down and keep safe distance.
16.480,A car is close ahead on the left. Slow down and keep safe distance.
16.520,A car is close ahead on the left. Slow down and keep safe distance.
16.560,A car is close ahead on the left. Slow down and keep safe distance.
16.600,A car is close ahead on the left. Slow down and keep safe distance.
16.640,A car is close ahead. Slow down and keep safe distance. (Moving to the right)
16.680,A car is close ahead. Slow down and keep safe distance.
16.720,A car is close ahead. Slow down and keep safe distance.
16.760,A car is close ahead. Slow down and keep safe distance.
16.800,A car is close ahead. Slow down and keep safe distance.
16.840,A car is close ahead. Slow down and keep safe distance.
16.880,A car is close ahead on the left. Slow down and keep safe distance.
16.920,A car is close ahead on the left. Slow down and keep safe distance.
16.960,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
17.000,A car is close ahead on the left. Slow down and keep safe distance.
17.040,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
17.080,A car is close ahead on the left. Slow down and keep safe distance.
17.120,A car is close ahead on the left. Slow down and keep safe distance.
17.160,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
17.200,A car is close ahead on the left. Slow down and keep safe distance.
17.240,A car is close ahead on the left. Slow down and keep safe distance.
17.280,A car is close ahead on the left. Slow down and keep safe distance.
17.320,A car is close ahead on the left. Slow down and keep safe distance.
17.360,A car is close ahead on the left. Slow down and keep safe distance.
17.400,A car is close ahead on the left. Slow down and keep safe distance.
17.440,A car is close ahead on the left. Slow down and keep safe distance.
17.480,A car is close ahead on the left. Slow down and keep safe distance.
17.520,A car is close ahead on the left. Slow down and keep safe distance.
17.560,A car is close ahead on the left. Slow down and keep safe distance.
17.600,A car is close ahead on the left. Slow down and keep safe distance.
17.640,A car is close ahead on the left. Slow down and keep safe distance.
17.680,A car is close ahead on the left. Slow down and keep safe distance.
17.720,A car is close ahead on the left. Slow down and keep safe distance.
17.760,A car is close ahead on the left. Slow down and keep safe distance.
17.800,A car is close ahead on the left. Slow down and keep safe distance.
17.840,A car is close ahead on the left. Slow down and keep safe distance.
17.880,A car is close ahead on the left. Slow down and keep safe distance.
17.920,A car is close ahead on the left. Slow down and keep safe distance.
17.960,A car is close ahead on the left. Slow down and keep safe distance.
18.000,A car is close ahead on the left. Slow down and keep safe distance.
18.040,A car is close ahead on the left. Slow down and keep safe distance.
18.080,A car is close ahead on the left. Slow down and keep safe distance.
18.120,A car is close ahead on the left. Slow down and keep safe distance.
18.160,A car is close ahead on the left. Slow down and keep safe distance.
18.200,A car is close ahead on the left. Slow down and keep safe distance.
18.240,A car is close ahead on the left. Slow down and keep safe distance.
18.280,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the right)
18.320,A car is close ahead on the left. Slow down and keep safe distance. (Moving to the left)
18.360,A car is close ahead on the left. Slow down and keep safe distance.
18.400,A car is close ahead on the left. Slow down and keep safe distance.
18.440,A car is close ahead on the left. Slow down and keep safe distance.
18.480,A car is close ahead on the left. Slow down and keep safe distance.
18.520,A car is close ahead on the left. Slow down and keep safe distance.
18.560,A car is close ahead on the left. Slow down and keep safe distance.
18.600,A car is close ahead on the left. Slow down and keep safe distance.
18.640,A car is close ahead on the left. Slow down and keep safe distance.
18.680,A car is close ahead on the left. Slow down and keep safe distance.
18.720,A car is close ahead on the left. Slow down and keep safe distance.
18.760,A car is close ahead on the left. Slow down and keep safe distance.
18.800,A car is close ahead on the left. Slow down and keep safe distance.
18.840,A car is close ahead on the left. Slow down and keep safe distance.
18.880,A car is close ahead on the left. Slow down and keep safe distance.
18.920,A car is close ahead on the left. Slow down and keep safe distance.
18.960,A car is close ahead on the left. Slow down and keep safe distance.
19.000,A car is close ahead on the left. Slow down and keep safe distance.
19.040,A car is close ahead on the left. Slow down and keep safe distance.
19.080,A car is close ahead on the left. Slow down and keep safe distance.
19.120,A car is close ahead on the left. Slow down and keep safe distance.
19.160,A car is close ahead on the left. Slow down and keep safe distance.
19.200,A car is close ahead on the left. Slow down and keep safe distance.
19.240,A car is close ahead on the left. Slow down and keep safe distance.
19.280,A car is close ahead on the left. Slow down and keep safe distance.
19.320,A car is close ahead on the left. Slow down and keep safe distance.
19.360,A car is close ahead on the left. Slow down and keep safe distance.
19.400,A car is close ahead on the left. Slow down and keep safe distance.
